design,clock_period_ns,input_delay,output_delay,cell_count,chip_area,wns,tns,setup_violated
multiplier_4bit,7.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,7.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,7.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,7.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,7.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,7.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,8.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,8.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,8.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,8.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,8.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,8.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,8.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,8.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,8.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,8.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,9.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,9.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,9.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,9.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,9.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,9.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,9.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,9.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,9.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,9.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,10.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,10.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,10.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,10.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,10.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,10.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,10.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,10.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,10.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,10.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,11.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,11.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,11.0,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,11.0,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,11.0,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,11.5,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,11.5,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,11.5,1.0,1.0,60,528.006400,0.00,0.00,0
multiplier_4bit,11.5,1.5,1.5,60,528.006400,0.00,0.00,0
multiplier_4bit,11.5,2.0,2.0,60,528.006400,0.00,0.00,0
multiplier_4bit,12.0,0.2,0.2,60,528.006400,0.00,0.00,0
multiplier_4bit,12.0,0.5,0.5,60,528.006400,0.00,0.00,0
multiplier_4bit,12.0,1.0,1.0,60,528.006400,0.00,0.00,0
